Date_As_Of,Rank_As_Of,YTD_Rank,Last_Week_Rank,Title,Type,Netflix_Exclusive,Release_Date,Days_in_top_10,Viewership_Score
2021-01-17,9,8,5,We Can Be Heroes,Movie,Yes,25-Dec-20,23,143
2021-01-17,10,10,9,Cocomelon,TV Show,,01-Jun-20,103,293
2021-01-18,1,1,-,Outside the Wire,Movie,Yes,15-Jan-21,3,29
2021-01-18,2,2,-,Night Stalker: The Hunt for…,TV Show,Yes,13-Jan-21,5,46
2021-01-18,3,3,1,Bridgerton,TV Show,Yes,25-Dec-20,24,224
2021-01-18,4,6,9,L.A.'s Finest,TV Show,,05-Jan-21,8,46
2021-01-18,5,4,3,Lupin,TV Show,Yes,08-Jan-21,10,73
2021-01-18,6,5,-,Henry Danger,TV Show,,15-Jan-21,3,13
2021-01-18,7,7,-,Disenchantment,TV Show,Yes,17-Aug-18,3,12
2021-01-18,8,8,2,Cobra Kai,TV Show,,28-Aug-20,50,365
2021-01-18,9,-,-,Bling Empire,TV Show,Yes,15-Jan-21,1,2
2021-01-18,10,9,5,We Can Be Heroes,Movie,Yes,25-Dec-20,24,144
2021-01-19,1,1,-,Outside the Wire,Movie,Yes,15-Jan-21,4,39
2021-01-19,2,2,-,Night Stalker: The Hunt for…,TV Show,Yes,13-Jan-21,6,55
2021-01-19,3,3,1,Bridgerton,TV Show,Yes,25-Dec-20,25,232
2021-01-19,4,6,-,Henry Danger,TV Show,,15-Jan-21,4,20
2021-01-19,5,4,4,L.A.'s Finest,TV Show,,05-Jan-21,9,52
2021-01-19,6,9,-,Bling Empire,TV Show,Yes,15-Jan-21,2,7
2021-01-19,7,5,3,Lupin,TV Show,Yes,08-Jan-21,11,77
2021-01-19,8,7,-,Disenchantment,TV Show,Yes,17-Aug-18,4,15
2021-01-19,9,8,2,Cobra Kai,TV Show,,28-Aug-20,51,367
2021-01-19,10,-,-,The Vanished,Movie,,15-Jan-21,1,1
2021-01-20,1,2,-,Night Stalker: The Hunt for…,TV Show,Yes,13-Jan-21,7,65
2021-01-20,2,1,-,Outside the Wire,Movie,Yes,15-Jan-21,5,48
2021-01-20,3,3,1,Bridgerton,TV Show,Yes,25-Dec-20,26,240
2021-01-20,4,6,-,Bling Empire,TV Show,Yes,15-Jan-21,3,14
2021-01-20,5,4,-,Henry Danger,TV Show,,15-Jan-21,5,26
2021-01-20,6,5,4,L.A.'s Finest,TV Show,,05-Jan-21,10,57
2021-01-20,7,7,2,Lupin,TV Show,Yes,08-Jan-21,12,81
2021-01-20,8,10,-,The Vanished,Movie,,15-Jan-21,2,4
2021-01-20,9,9,3,Cobra Kai,TV Show,,28-Aug-20,52,369
2021-01-20,10,8,-,Disenchantment,TV Show,Yes,17-Aug-18,5,16
2021-01-21,1,1,3,Night Stalker: The Hunt for…,TV Show,Yes,13-Jan-21,8,75
2021-01-21,2,3,1,Bridgerton,TV Show,Yes,25-Dec-20,27,249
2021-01-21,3,2,-,Outside the Wire,Movie,Yes,15-Jan-21,6,56
2021-01-21,4,5,-,Henry Danger,TV Show,,15-Jan-21,6,33
2021-01-21,5,4,-,Bling Empire,TV Show,Yes,15-Jan-21,4,20
2021-01-21,6,6,5,L.A.'s Finest,TV Show,,05-Jan-21,11,62
2021-01-21,7,7,2,Lupin,TV Show,Yes,08-Jan-21,13,85
2021-01-21,8,8,-,The Vanished,Movie,,15-Jan-21,3,7
2021-01-21,9,-,-,Homefront,Movie,,18-Jan-21,1,2
2021-01-21,10,9,4,Cobra Kai,TV Show,,28-Aug-20,53,370
2021-01-22,1,2,2,Bridgerton,TV Show,Yes,25-Dec-20,28,259
2021-01-22,2,1,1,Night Stalker: The Hunt for…,TV Show,Yes,13-Jan-21,9,84
2021-01-22,3,-,-,Cut Throat City,Movie,,20-Jan-21,1,8
2021-01-22,4,3,-,Outside the Wire,Movie,Yes,15-Jan-21,7,63
2021-01-22,5,9,-,Homefront,Movie,,18-Jan-21,2,8
2021-01-22,6,4,-,Henry Danger,TV Show,,15-Jan-21,7,38
2021-01-22,7,6,5,L.A.'s Finest,TV Show,,05-Jan-21,12,66
2021-01-22,8,5,-,Bling Empire,TV Show,Yes,15-Jan-21,5,23
2021-01-22,9,7,3,Lupin,TV Show,Yes,08-Jan-21,14,87
2021-01-22,10,8,-,The Vanished,Movie,,15-Jan-21,4,8
2021-01-23,1,-,-,Fate: The Winx Saga,TV Show,Yes,22-Jan-21,1,10
2021-01-23,2,5,-,Homefront,Movie,,18-Jan-21,3,17
2021-01-23,3,1,3,Bridgerton,TV Show,Yes,25-Dec-20,29,267
2021-01-23,4,2,1,Night Stalker: The Hunt for…,TV Show,Yes,13-Jan-21,10,91
2021-01-23,5,3,-,Cut Throat City,Movie,,20-Jan-21,2,14
2021-01-23,6,-,-,Jurassic World: Camp Cretac…,TV Show,Yes,18-Sep-20,14,96
2021-01-23,7,6,9,Henry Danger,TV Show,,15-Jan-21,8,42
2021-01-23,8,4,2,Outside the Wire,Movie,Yes,15-Jan-21,8,66
2021-01-23,9,8,-,Bling Empire,TV Show,Yes,15-Jan-21,6,25
2021-01-23,10,7,5,L.A.'s Finest,TV Show,,05-Jan-21,13,67
2021-01-24,1,1,-,Fate: The Winx Saga,TV Show,Yes,22-Jan-21,2,20
2021-01-24,2,2,-,Homefront,Movie,,18-Jan-21,4,26
2021-01-24,3,3,3,Bridgerton,TV Show,Yes,25-Dec-20,30,275
2021-01-24,4,4,2,Night Stalker: The Hunt for…,TV Show,Yes,13-Jan-21,11,98
2021-01-24,5,5,-,Cut Throat City,Movie,,20-Jan-21,3,20
2021-01-24,6,-,-,The White Tiger,Movie,Yes,22-Jan-21,1,5
2021-01-24,7,6,-,Jurassic World: Camp Cretac…,TV Show,Yes,18-Sep-20,15,100
2021-01-24,8,8,1,Outside the Wire,Movie,Yes,15-Jan-21,9,69
2021-01-24,9,7,5,Henry Danger,TV Show,,15-Jan-21,9,44
2021-01-24,10,9,-,Bling Empire,TV Show,Yes,15-Jan-21,7,26
2021-01-25,1,1,-,Fate: The Winx Saga,TV Show,Yes,22-Jan-21,3,30
2021-01-25,2,2,-,Homefront,Movie,,18-Jan-21,5,35
2021-01-25,3,3,3,Bridgerton,TV Show,Yes,25-Dec-20,31,283
2021-01-25,4,4,2,Night Stalker: The Hunt for…,TV Show,Yes,13-Jan-21,12,105
2021-01-25,5,6,-,The White Tiger,Movie,Yes,22-Jan-21,2,11
2021-01-25,6,5,-,Cut Throat City,Movie,,20-Jan-21,4,25
2021-01-25,7,9,6,Henry Danger,TV Show,,15-Jan-21,10,48
2021-01-25,8,10,9,Bling Empire,TV Show,Yes,15-Jan-21,8,29
2021-01-25,9,7,-,Jurassic World: Camp Cretac…,TV Show,Yes,18-Sep-20,16,102
2021-01-25,10,-,-,The Vanished,Movie,,15-Jan-21,5,9
2021-01-26,1,1,-,Fate: The Winx Saga,TV Show,Yes,22-Jan-21,4,40
2021-01-26,2,2,-,Homefront,Movie,,18-Jan-21,6,44
2021-01-26,3,3,3,Bridgerton,TV Show,Yes,25-Dec-20,32,291
2021-01-26,4,-,-,The Next Three Days,Movie,,22-Jan-21,1,7
2021-01-26,5,4,2,Night Stalker: The Hunt for…,TV Show,Yes,13-Jan-21,13,111
2021-01-26,6,7,4,Henry Danger,TV Show,,15-Jan-21,11,53
2021-01-26,7,9,-,Jurassic World: Camp Cretac…,TV Show,Yes,18-Sep-20,17,106
2021-01-26,8,-,-,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,5,12
2021-01-26,9,-,-,Demon Slayer: Kimetsu No Yaiba,TV Show,,22-Jan-21,1,2
2021-01-26,10,10,10,The Vanished,Movie,,15-Jan-21,6,10
2021-01-27,1,1,-,Fate: The Winx Saga,TV Show,Yes,22-Jan-21,5,50
2021-01-27,2,4,-,The Next Three Days,Movie,,22-Jan-21,2,16
2021-01-27,3,3,3,Bridgerton,TV Show,Yes,25-Dec-20,33,299
2021-01-27,4,2,-,Homefront,Movie,,18-Jan-21,7,51
2021-01-27,5,5,1,Night Stalker: The Hunt for…,TV Show,Yes,13-Jan-21,14,117
2021-01-27,6,6,5,Henry Danger,TV Show,,15-Jan-21,12,58
2021-01-27,7,8,-,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,6,16
2021-01-27,8,10,8,The Vanished,Movie,,15-Jan-21,7,13
2021-01-27,9,9,-,Demon Slayer: Kimetsu No Yaiba,TV Show,,22-Jan-21,2,4
2021-01-27,10,-,-,Cocomelon,TV Show,,01-Jun-20,104,294
2021-01-28,1,1,-,Fate: The Winx Saga,TV Show,Yes,22-Jan-21,6,60
2021-01-28,2,2,-,The Next Three Days,Movie,,22-Jan-21,3,25
2021-01-28,3,3,2,Bridgerton,TV Show,Yes,25-Dec-20,34,307
2021-01-28,4,4,9,Homefront,Movie,,18-Jan-21,8,58
2021-01-28,5,5,1,Night Stalker: The Hunt for…,TV Show,Yes,13-Jan-21,15,123
2021-01-28,6,6,4,Henry Danger,TV Show,,15-Jan-21,13,63
2021-01-28,7,7,-,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,7,20
2021-01-28,8,-,-,"Go, Dog, Go",TV Show,Yes,26-Jan-21,1,3
2021-01-28,9,8,8,The Vanished,Movie,,15-Jan-21,8,15
2021-01-28,10,10,-,Cocomelon,TV Show,,01-Jun-20,105,295
2021-01-29,1,1,-,Fate: The Winx Saga,TV Show,Yes,22-Jan-21,7,70
2021-01-29,2,2,-,The Next Three Days,Movie,,22-Jan-21,4,34
2021-01-29,3,3,1,Bridgerton,TV Show,Yes,25-Dec-20,35,315
2021-01-29,4,4,5,Homefront,Movie,,18-Jan-21,9,65
2021-01-29,5,8,-,"Go, Dog, Go",TV Show,Yes,26-Jan-21,2,9
2021-01-29,6,7,-,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,8,25
2021-01-29,7,9,10,The Vanished,Movie,,15-Jan-21,9,19
2021-01-29,8,6,6,Henry Danger,TV Show,,15-Jan-21,14,66
2021-01-29,9,10,-,Cocomelon,TV Show,,01-Jun-20,106,297
2021-01-29,10,5,2,Night Stalker: The Hunt for…,TV Show,Yes,13-Jan-21,16,124
2021-01-30,1,-,-,Below Zero,Movie,Yes,29-Jan-21,1,10
2021-01-30,2,1,1,Fate: The Winx Saga,TV Show,Yes,22-Jan-21,8,79
2021-01-30,3,3,3,Bridgerton,TV Show,Yes,25-Dec-20,36,323
2021-01-30,4,2,-,The Next Three Days,Movie,,22-Jan-21,5,41
2021-01-30,5,-,-,The Dig,Movie,Yes,29-Jan-21,1,6
2021-01-30,6,-,-,Finding âOhana,Movie,Yes,29-Jan-21,1,5
2021-01-30,7,5,-,"Go, Dog, Go",TV Show,Yes,26-Jan-21,3,13
2021-01-30,8,4,2,Homefront,Movie,,18-Jan-21,10,68
2021-01-30,9,6,-,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,9,27
2021-01-30,10,7,-,The Vanished,Movie,,15-Jan-21,10,20
2021-01-31,1,1,-,Below Zero,Movie,Yes,29-Jan-21,2,20
2021-01-31,2,6,-,Finding âOhana,Movie,Yes,29-Jan-21,2,14
2021-01-31,3,5,-,The Dig,Movie,Yes,29-Jan-21,2,14
2021-01-31,4,3,3,Bridgerton,TV Show,Yes,25-Dec-20,37,330
2021-01-31,5,4,-,The Next Three Days,Movie,,22-Jan-21,6,47
2021-01-31,6,2,1,Fate: The Winx Saga,TV Show,Yes,22-Jan-21,9,84
2021-01-31,7,7,-,"Go, Dog, Go",TV Show,Yes,26-Jan-21,4,17
2021-01-31,8,8,2,Homefront,Movie,,18-Jan-21,11,71
2021-01-31,9,10,-,The Vanished,Movie,,15-Jan-21,11,22
2021-01-31,10,9,-,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,10,28
2021-02-01,1,1,-,Below Zero,Movie,Yes,29-Jan-21,3,30
2021-02-01,2,2,-,Finding âOhana,Movie,Yes,29-Jan-21,3,23
2021-02-01,3,3,-,The Dig,Movie,Yes,29-Jan-21,3,22
2021-02-01,4,4,3,Bridgerton,TV Show,Yes,25-Dec-20,38,337
2021-02-01,5,5,-,The Next Three Days,Movie,,22-Jan-21,7,53
2021-02-01,6,6,1,Fate: The Winx Saga,TV Show,Yes,22-Jan-21,10,89
2021-02-01,7,7,-,"Go, Dog, Go",TV Show,Yes,26-Jan-21,5,21
2021-02-01,8,8,2,Homefront,Movie,,18-Jan-21,12,74
2021-02-01,9,9,10,The Vanished,Movie,,15-Jan-21,12,24
2021-02-01,10,10,-,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,11,29
2021-02-02,1,1,-,Below Zero,Movie,Yes,29-Jan-21,4,40
2021-02-02,2,4,3,Bridgerton,TV Show,Yes,25-Dec-20,39,346
2021-02-02,3,3,-,The Dig,Movie,Yes,29-Jan-21,4,30
2021-02-02,4,2,-,Finding âOhana,Movie,Yes,29-Jan-21,4,30
2021-02-02,5,6,1,Fate: The Winx Saga,TV Show,Yes,22-Jan-21,11,95
2021-02-02,6,5,4,The Next Three Days,Movie,,22-Jan-21,8,58
2021-02-02,7,7,-,"Go, Dog, Go",TV Show,Yes,26-Jan-21,6,25
2021-02-02,8,10,8,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,12,32
2021-02-02,9,-,-,Cocomelon,TV Show,,01-Jun-20,107,299
2021-02-02,10,-,6,Henry Danger,TV Show,,15-Jan-21,15,67
2021-02-03,1,2,3,Bridgerton,TV Show,Yes,25-Dec-20,40,356
2021-02-03,2,1,-,Below Zero,Movie,Yes,29-Jan-21,5,49
2021-02-03,3,3,-,The Dig,Movie,Yes,29-Jan-21,5,38
2021-02-03,4,4,-,Finding âOhana,Movie,Yes,29-Jan-21,5,37
2021-02-03,5,5,1,Fate: The Winx Saga,TV Show,Yes,22-Jan-21,12,101
2021-02-03,6,8,7,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,13,37
2021-02-03,7,7,-,"Go, Dog, Go",TV Show,Yes,26-Jan-21,7,29
2021-02-03,8,9,10,Cocomelon,TV Show,,01-Jun-20,108,302
2021-02-03,9,6,2,The Next Three Days,Movie,,22-Jan-21,9,60
2021-02-03,10,10,6,Henry Danger,TV Show,,15-Jan-21,16,68
2021-02-04,1,-,-,Firefly Lane,TV Show,Yes,03-Feb-21,1,10
2021-02-04,2,1,3,Bridgerton,TV Show,Yes,25-Dec-20,41,365
2021-02-04,3,4,-,Finding âOhana,Movie,Yes,29-Jan-21,6,45
2021-02-04,4,3,-,The Dig,Movie,Yes,29-Jan-21,6,45
2021-02-04,5,6,7,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,14,43
2021-02-04,6,2,-,Below Zero,Movie,Yes,29-Jan-21,6,54
2021-02-04,7,7,8,"Go, Dog, Go",TV Show,Yes,26-Jan-21,8,33
2021-02-04,8,5,1,Fate: The Winx Saga,TV Show,Yes,22-Jan-21,13,104
2021-02-04,9,8,10,Cocomelon,TV Show,,01-Jun-20,109,304
2021-02-04,10,10,6,Henry Danger,TV Show,,15-Jan-21,17,69
2021-02-05,1,1,-,Firefly Lane,TV Show,Yes,03-Feb-21,2,20
2021-02-05,2,2,3,Bridgerton,TV Show,Yes,25-Dec-20,42,374
2021-02-05,3,-,-,All About the Benjamins,Movie,,01-Feb-21,1,8
2021-02-05,4,5,6,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,15,50
2021-02-05,5,9,9,Cocomelon,TV Show,,01-Jun-20,110,310
2021-02-05,6,7,5,"Go, Dog, Go",TV Show,Yes,26-Jan-21,9,38
2021-02-05,7,3,-,Finding âOhana,Movie,Yes,29-Jan-21,7,49
2021-02-05,8,4,-,The Dig,Movie,Yes,29-Jan-21,7,48
2021-02-05,9,8,1,Fate: The Winx Saga,TV Show,Yes,22-Jan-21,14,106
2021-02-05,10,10,8,Henry Danger,TV Show,,15-Jan-21,18,70
2021-02-06,1,1,-,Firefly Lane,TV Show,Yes,03-Feb-21,3,30
2021-02-06,2,2,3,Bridgerton,TV Show,Yes,25-Dec-20,43,383
2021-02-06,3,-,-,Malcolm & Marie,Movie,Yes,05-Feb-21,1,8
2021-02-06,4,3,-,All About the Benjamins,Movie,,01-Feb-21,2,15
2021-02-06,5,5,-,Cocomelon,TV Show,,01-Jun-20,111,316
2021-02-06,6,4,9,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,16,55
2021-02-06,7,6,7,"Go, Dog, Go",TV Show,Yes,26-Jan-21,10,42
2021-02-06,8,7,6,Finding âOhana,Movie,Yes,29-Jan-21,8,52
2021-02-06,9,8,5,The Dig,Movie,Yes,29-Jan-21,8,50
2021-02-06,10,10,-,Henry Danger,TV Show,,15-Jan-21,19,71
2021-02-07,1,1,-,Firefly Lane,TV Show,Yes,03-Feb-21,4,40
2021-02-07,2,3,-,Malcolm & Marie,Movie,Yes,05-Feb-21,2,17
2021-02-07,3,2,4,Bridgerton,TV Show,Yes,25-Dec-20,44,391
2021-02-07,4,-,-,The Sinner,TV Show,,02-Jul-18,1,7
2021-02-07,5,4,-,All About the Benjamins,Movie,,01-Feb-21,3,21
2021-02-07,6,8,2,Finding âOhana,Movie,Yes,29-Jan-21,9,57
2021-02-07,7,9,3,The Dig,Movie,Yes,29-Jan-21,9,54
2021-02-07,8,5,-,Cocomelon,TV Show,,01-Jun-20,112,319
2021-02-07,9,7,7,"Go, Dog, Go",TV Show,Yes,26-Jan-21,11,44
2021-02-07,10,10,-,Henry Danger,TV Show,,15-Jan-21,20,72
2021-02-08,1,1,-,Firefly Lane,TV Show,Yes,03-Feb-21,5,50
2021-02-08,2,4,-,The Sinner,TV Show,,02-Jul-18,2,16
2021-02-08,3,2,-,Malcolm & Marie,Movie,Yes,05-Feb-21,3,25
2021-02-08,4,3,4,Bridgerton,TV Show,Yes,25-Dec-20,45,398
2021-02-08,5,5,-,All About the Benjamins,Movie,,01-Feb-21,4,27
2021-02-08,6,8,-,Cocomelon,TV Show,,01-Jun-20,113,324
2021-02-08,7,-,10,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,17,59
2021-02-08,8,-,-,Space Sweepers,Movie,Yes,05-Feb-21,1,3
2021-02-08,9,9,7,"Go, Dog, Go",TV Show,Yes,26-Jan-21,12,46
2021-02-08,10,-,-,Are We There Yet?,Movie,,01-Feb-21,1,1
2021-02-09,1,1,-,Firefly Lane,TV Show,Yes,03-Feb-21,6,60
2021-02-09,2,2,-,The Sinner,TV Show,,02-Jul-18,3,25
2021-02-09,3,-,-,iCarly,TV Show,,08-Feb-21,1,8
2021-02-09,4,4,2,Bridgerton,TV Show,Yes,25-Dec-20,46,405
2021-02-09,5,6,9,Cocomelon,TV Show,,01-Jun-20,114,330
2021-02-09,6,7,8,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,18,64
2021-02-09,7,-,-,War Dogs,Movie,,08-Feb-21,1,4
2021-02-09,8,3,-,Malcolm & Marie,Movie,Yes,05-Feb-21,4,28
2021-02-09,9,5,-,All About the Benjamins,Movie,,01-Feb-21,5,29
2021-02-09,10,9,7,"Go, Dog, Go",TV Show,Yes,26-Jan-21,13,47
2021-02-10,1,1,-,Firefly Lane,TV Show,Yes,03-Feb-21,7,70
2021-02-10,2,3,-,iCarly,TV Show,,08-Feb-21,2,17
2021-02-10,3,2,-,The Sinner,TV Show,,02-Jul-18,4,33
2021-02-10,4,7,-,War Dogs,Movie,,08-Feb-21,2,11
2021-02-10,5,4,1,Bridgerton,TV Show,Yes,25-Dec-20,47,411
2021-02-10,6,5,8,Cocomelon,TV Show,,01-Jun-20,115,335
2021-02-10,7,6,6,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,19,68
2021-02-10,8,10,7,"Go, Dog, Go",TV Show,Yes,26-Jan-21,14,50
2021-02-10,9,-,10,Henry Danger,TV Show,,15-Jan-21,21,74
2021-02-10,10,9,-,All About the Benjamins,Movie,,01-Feb-21,6,30
2021-02-11,1,-,-,Crime Scene: The Vanishing …,TV Show,Yes,10-Feb-21,1,10
2021-02-11,2,1,1,Firefly Lane,TV Show,Yes,03-Feb-21,8,79
2021-02-11,3,2,-,iCarly,TV Show,,08-Feb-21,3,25
2021-02-11,4,3,-,The Sinner,TV Show,,02-Jul-18,5,40
2021-02-11,5,4,-,War Dogs,Movie,,08-Feb-21,3,17
2021-02-11,6,5,2,Bridgerton,TV Show,Yes,25-Dec-20,48,416
2021-02-11,7,6,9,Cocomelon,TV Show,,01-Jun-20,116,339
2021-02-11,8,7,5,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,20,71
2021-02-11,9,8,7,"Go, Dog, Go",TV Show,Yes,26-Jan-21,15,52
2021-02-11,10,9,10,Henry Danger,TV Show,,15-Jan-21,22,75
2021-02-12,1,1,-,Crime Scene: The Vanishing …,TV Show,Yes,10-Feb-21,2,20
2021-02-12,2,2,1,Firefly Lane,TV Show,Yes,03-Feb-21,9,88
2021-02-12,3,3,-,iCarly,TV Show,,08-Feb-21,4,33
2021-02-12,4,4,-,The Sinner,TV Show,,02-Jul-18,6,47
2021-02-12,5,5,-,War Dogs,Movie,,08-Feb-21,4,23
2021-02-12,6,-,-,Squared Love,Movie,Yes,11-Feb-21,1,5
2021-02-12,7,6,2,Bridgerton,TV Show,Yes,25-Dec-20,49,420
2021-02-12,8,7,5,Cocomelon,TV Show,,01-Jun-20,117,342
2021-02-12,9,8,4,Jenni Rivera: Mariposa de B…,TV Show,,01-Jan-21,21,73
2021-02-12,10,-,-,Red Dot,Movie,Yes,11-Feb-21,1,1
2021-02-13,1,-,-,To All the Boys Always and …,Movie,Yes,12-Feb-21,1,10
2021-02-13,2,1,-,Crime Scene: The Vanishing …,TV Show,Yes,10-Feb-21,3,29
2021-02-13,3,3,-,iCarly,TV Show,,08-Feb-21,5,41
2021-02-13,4,2,1,Firefly Lane,TV Show,Yes,03-Feb-21,10,95
2021-02-13,5,4,-,The Sinner,TV Show,,02-Jul-18,7,53
2021-02-13,6,5,-,War Dogs,Movie,,08-Feb-21,5,28
2021-02-13,7,10,-,Red Dot,Movie,Yes,11-Feb-21,2,5
2021-02-13,8,8,5,Cocomelon,TV Show,,01-Jun-20,118,345
2021-02-13,9,6,-,Squared Love,Movie,Yes,11-Feb-21,2,7
2021-02-13,10,7,2,Bridgerton,TV Show,Yes,25-Dec-20,50,421
2021-02-14,1,2,-,Crime Scene: The Vanishing …,TV Show,Yes,10-Feb-21,4,39
2021-02-14,2,1,-,To All the Boys Always and …,Movie,Yes,12-Feb-21,2,19
2021-02-14,3,4,1,Firefly Lane,TV Show,Yes,03-Feb-21,11,103
2021-02-14,4,3,-,iCarly,TV Show,,08-Feb-21,6,48
2021-02-14,5,6,-,War Dogs,Movie,,08-Feb-21,6,34
2021-02-14,6,5,4,The Sinner,TV Show,,02-Jul-18,8,58
2021-02-14,7,7,-,Red Dot,Movie,Yes,11-Feb-21,3,9
2021-02-14,8,10,3,Bridgerton,TV Show,Yes,25-Dec-20,51,424
2021-02-14,9,9,-,Squared Love,Movie,Yes,11-Feb-21,3,9
2021-02-14,10,8,8,Cocomelon,TV Show,,01-Jun-20,119,346
2021-02-15,1,1,-,Crime Scene: The Vanishing …,TV Show,Yes,10-Feb-21,5,49
2021-02-15,2,2,-,To All the Boys Always and …,Movie,Yes,12-Feb-21,3,28
2021-02-15,3,3,1,Firefly Lane,TV Show,Yes,03-Feb-21,12,111
2021-02-15,4,4,-,iCarly,TV Show,,08-Feb-21,7,55
2021-02-15,5,5,-,War Dogs,Movie,,08-Feb-21,7,40
2021-02-15,6,6,2,The Sinner,TV Show,,02-Jul-18,9,63
2021-02-15,7,7,-,Red Dot,Movie,Yes,11-Feb-21,4,13
2021-02-15,8,9,-,Squared Love,Movie,Yes,11-Feb-21,4,12
2021-02-15,9,8,4,Bridgerton,TV Show,Yes,25-Dec-20,52,426
2021-02-15,10,10,6,Cocomelon,TV Show,,01-Jun-20,120,347
2021-02-16,1,1,-,Crime Scene: The Vanishing …,TV Show,Yes,10-Feb-21,6,59
2021-02-16,2,4,3,iCarly,TV Show,,08-Feb-21,8,64
2021-02-16,3,3,1,Firefly Lane,TV Show,Yes,03-Feb-21,13,119
2021-02-16,4,2,-,To All the Boys Always and …,Movie,Yes,12-Feb-21,4,35
2021-02-16,5,-,-,The Crew,TV Show,Yes,15-Feb-21,1,6
2021-02-16,6,6,2,The Sinner,TV Show,,02-Jul-18,10,68
2021-02-16,7,5,7,War Dogs,Movie,,08-Feb-21,8,44
2021-02-16,8,7,-,Red Dot,Movie,Yes,11-Feb-21,5,16
2021-02-16,9,10,5,Cocomelon,TV Show,,01-Jun-20,121,349
2021-02-16,10,9,4,Bridgerton,TV Show,Yes,25-Dec-20,53,427
2021-02-17,1,1,-,Crime Scene: The Vanishing …,TV Show,Yes,10-Feb-21,7,69
2021-02-17,2,2,2,iCarly,TV Show,,08-Feb-21,9,73
2021-02-17,3,-,-,Good Girls,TV Show,,01-Jan-19,1,8
2021-02-17,4,3,1,Firefly Lane,TV Show,Yes,03-Feb-21,14,126
2021-02-17,5,5,-,The Crew,TV Show,Yes,15-Feb-21,2,12
2021-02-17,6,4,-,To All the Boys Always and …,Movie,Yes,12-Feb-21,5,40
2021-02-17,7,6,3,The Sinner,TV Show,,02-Jul-18,11,72
2021-02-17,8,9,6,Cocomelon,TV Show,,01-Jun-20,122,352
2021-02-17,9,-,-,Animals on the Loose: A You…,Movie,Yes,16-Feb-21,1,2
2021-02-17,10,10,5,Bridgerton,TV Show,Yes,25-Dec-20,54,428
2021-02-18,1,3,-,Good Girls,TV Show,,01-Jan-19,2,18
2021-02-18,2,1,1,Crime Scene: The Vanishing …,TV Show,Yes,10-Feb-21,8,78
2021-02-18,3,2,3,iCarly,TV Show,,08-Feb-21,10,81
2021-02-18,4,5,-,The Crew,TV Show,Yes,15-Feb-21,3,19
2021-02-18,5,4,2,Firefly Lane,TV Show,Yes,03-Feb-21,15,132
2021-02-18,6,-,-,Behind Her Eyes,TV Show,Yes,17-Feb-21,1,5
2021-02-18,7,6,-,To All the Boys Always and …,Movie,Yes,12-Feb-21,6,44
2021-02-18,8,7,4,The Sinner,TV Show,,02-Jul-18,12,75
2021-02-18,9,8,7,Cocomelon,TV Show,,01-Jun-20,123,354
2021-02-18,10,10,6,Bridgerton,TV Show,Yes,25-Dec-20,55,429
2021-02-19,1,6,-,Behind Her Eyes,TV Show,Yes,17-Feb-21,2,15
2021-02-19,2,1,-,Good Girls,TV Show,,01-Jan-19,3,27
2021-02-19,3,3,3,iCarly,TV Show,,08-Feb-21,11,89
2021-02-19,4,2,1,Crime Scene: The Vanishing …,TV Show,Yes,10-Feb-21,9,85
2021-02-19,5,5,2,Firefly Lane,TV Show,Yes,03-Feb-21,16,138
2021-02-19,6,4,-,The Crew,TV Show,Yes,15-Feb-21,4,24
2021-02-19,7,9,8,Cocomelon,TV Show,,01-Jun-20,124,358
2021-02-19,8,7,-,To All the Boys Always and …,Movie,Yes,12-Feb-21,7,47
2021-02-19,9,8,4,The Sinner,TV Show,,02-Jul-18,13,77
2021-02-19,10,10,7,Bridgerton,TV Show,Yes,25-Dec-20,56,430
2021-02-20,1,-,-,I Care a Lot.,Movie,Yes,19-Feb-21,1,10
2021-02-20,2,1,-,Behind Her Eyes,TV Show,Yes,17-Feb-21,3,24
2021-02-20,3,2,-,Good Girls,TV Show,,01-Jan-19,4,35
2021-02-20,4,3,3,iCarly,TV Show,,08-Feb-21,12,96
2021-02-20,5,4,2,Crime Scene: The Vanishing …,TV Show,Yes,10-Feb-21,10,91
2021-02-20,6,5,4,Firefly Lane,TV Show,Yes,03-Feb-21,17,143
2021-02-20,7,6,-,The Crew,TV Show,Yes,15-Feb-21,5,28
